topic,feature,describe
感情線(天紋),乾宮上有一紋與感情線相接,感情理智，不會因感情誤事；與父母的緣份較淺，易離鄉在外，貴人在遠處，適合離鄉發展。有此紋者，忌事業線，但若有一清楚沉明的太陽線則大有助益，雖不合適當老闆，但可成為企業中的中、高主管階級，適合當執行者，不合適當決策者。需要他人的幫助才能成就事業
感情線(天紋),感情線有二、三條，並列而行,異性緣很好，禁不起誘惑，迷迷糊糊就有婚外情，因此而得到社會的批評。
感情線(天紋),感情線有二、三條，而線的長短不齊,具齊人之福，不論男女，另一半皆可與自已的其他對象相處得宜，親如姐妹、兄弟。
感情線(天紋),感情線有二、三條,感情、婚姻易有第三者出現，二人相處之間，若不是分居、經常分離或是離婚，就是自已命短。
感情線(天紋),感情線與生命線、智慧線相交，橫越手掌,此為斷掌掌紋，為人個性固執、難溝通，學識及知識豐富，多成就，可白手起家、創業，經營事業而賺大錢。有此紋者，男生大多負有自信；女生則因個性影響，容易獨守空閨。
感情線(天紋),感情線上結果球狀,事業方面不可貪心，唯有腳踏實地，做事要謹慎、懂得自我反省，才能得到成功。
感情線(天紋),感情線上呈丸狀,感情多難圓滿，戀愛多失敗，感情方面較為花心，情敵多報復性。
感情線(天紋),感情線分岔,經驗戲劇性的相逢與命中註定的分離。
感情線(天紋),感情線有許多支線,愛情不專，辭彙豐富，好說話
感情線(天紋),感情線與智慧線交叉,個性神經質，纖細脆弱，易受傷害
感情線(天紋),感情線與智慧線重疊,視死如歸的熱情者
感情線(天紋),感情線止於無名指,個性任性、不聽他人勸告
感情線(天紋),感情線終止於食指,個性自私自利
感情線(天紋),感情線上有不少條細斜線,表示此人有心臟病，而且可能情場失意，情緒陷入低潮之中。
感情線(天紋),感情線上有一條線深劃之線穿過,表示其從患有高血壓或易罹患中風。
感情線(天紋),十字紋在感情線和智慧線之間,表示其人戀愛必能成功。
感情線(天紋),感情線上有十字紋，或梯狀鋸狀,表示此人在事業、學業或生活上，會受愛情牽累，或其所愛之人有死亡傾向。
感情線(天紋),感情線上有不少小橫線穿過,表示此人喜愛奉承他人，但其愛情生活常發生痛苦或失敗。
感情線(天紋),感情線上如果出現島紋,表示此人愛情不能始終如一，而且對朋友也不能忠貞不二。
感情線(天紋),感情線呈鏈狀,必好淫亂，同時擁有許多情人，常有桃色事件發生，然愛情都不持久，因太過於縱情色慾而會遭到悲哀和失敗。喜雄辯，愛說人事非，撒謊者。
感情線(天紋),感情線的尾端出現三叉狀,具有博愛精神，有犧牲自己的利益，來造福眾人，且因其本身修養，而在感情上有所收穫。
感情線(天紋),感情線起分叉，尾端也分叉,為人誠實，對愛情很專一，不談戀愛則已，一談必付出真心，這種人因為過顧慷慨，交友務必小心，防小人之害。
感情線(天紋),感情線末端分叉為兩線，一向上指木星丘，一向下指火星丘,談戀愛熱也快冷也快，在情場中打滾導致一事無成，只有徒嘆命薄。此紋如在女性手上，又名秋波紋，表示其必有一雙美目，秋波一轉顛倒眾生。
感情線(天紋),感情線有雙重，成為姐妹線,感情豐富而且多情。這種人對女人有一套本領，情場失敗毫不在乎，有朝秦暮楚的本領，但與拈花惹草之徒不太相同。
感情線(天紋),感情線末端與智慧線連接甚密，智慧線尾端又有一支線下至小姆下方,表示理智被感情控制，盲目戀愛，會奉獻一切給戀人，若感情一互破裂即承受不了打擊甚至有殉情可能。
感情線(天紋),感情線若與智慧線合而為一(斷掌型),表示此人性情堅定，感情專一，且自私自利觀性極強，性情孤僻，動輒與他人發生爭吵打架，此人親友不相往來，容易衝動而肇事。
感情線(天紋),感情線中斷，且斷痕長,表示其一生中，如果沒有嘗到失戀的滋味，可能婚姻會遭到破裂。感情線在中途斷開，代表可能會離婚一次，愛情的困擾不斷。
感情線(天紋),感情線斷了又續,朋友多小人，事業方面容易受欺騙，被坑。凡事只有五分鐘的熱度，夫妻感情不佳，少有體貼。
感情線(天紋),感情線明顯的斷成了二、三截,感情、婚姻路難走，對方易有婚外情，或是第三者介入，感情主導權在對方身上，一切的不滿、不平只能忍耐，若為此起爭吵，最後只有分手下場。
感情線(天紋),感情線斷斷續續，或呈現破裂狀,表示了此人做事反覆無常，感情方面難圓滿，夫妻感情多阻礙，感情較極端、強烈，易怨恨異性，報復心強。其事業多成多敗，或在色情方面捐亂，只重肉慾感受，不重視感情培養。
感情線(天紋),感情線起自中途而且很短,顯示其人另有利己損人之相，少道德觀念，夫妻少團圓，親朋沒依靠，常會責怪別人，從不檢討自己，做人也不成功。
感情線(天紋),感情線淺闊，顏色又灰白,表示其人欠缺愛情，個性放蕩，有利己主義的觀念。
感情線(天紋),感情線短，智慧線下垂,情慾旺熾的特徵，如果智慧線再下垂，表示此人沒道德心但感情豐富，其人常隨著感情的興奮、冷淡、不但流露放蕩縱慾，而且會做出傷及道德之事。
感情線(天紋),感情線短而細,凡事只會怪別人，不懂得自我反省，因此，朋友及親人少有依靠，與這種人交往需特別小心。
感情線(天紋),感情線太短,感情三心二意，為人自私，少道德感，夫妻感情不好。
感情線(天紋),感情線、智慧線長,感情線越長表示感情越濃厚，愛情亦能專一，但必須要有長的智慧線來輔佐，因為在理性適當控制下，對事務才能作適當處理，否則難免多情所誤，飽嘗痛苦。
感情線(天紋),感情線出發點之處，出現不少的支線,這是生殖機能健全之效，也表示是多產之相，子女多而旺盛。
感情線(天紋),感情線末端伸至食指與中指之間，並開叉，支線向上者,個性較為好勝，支線向下，個性較隨和、好說話。
感情線(天紋),感情線末端伸至食指與中指之間,此人不會自溺於愛慾，對感情方面能慎重而理智的做合情合理的處理，也就是對是非善惡能作正確的辨別，不會盲目處事，但嫉妒心較強，喜歡多管閒事。金錢觀念較揮豁，入不敷出，即便原本富有也會有揮豁盡的一天。
感情線(天紋),感情線尾部至食指頭底部,愛情深厚，對戀愛較純情的，其夫妻之間的感情，精神方面必能牢牢結合在一起，可過著幸福美滿的家庭生活。是努力達成目的的理想主義者。
感情線(天紋),感情線長，深且細,感情專一，觀念和意志堅定。
感情線(天紋),感情線忌淺又長,有此紋者，做事沒有責任感，不懂得自我反省，只會將錯誤怪罪到別人身上。
感情線(天紋),感情線太長，未端伸至木星丘側面,太過重於感情，責任心強，妒嫉心亦重，凡事孤注一擲，不聽勸；因過份之愛而產生嫉妒而自尋煩惱，生活上可能極度不幸。
生命線(地紋),生命線的起頭較低而線狹窄，艮位的掌肉薄弱,財富與名利漸漸消失；若生命線呈鎖形狀，壽命較短，深受不明胃病而苦。
生命線(地紋),生命線起頭較高而線圓闊，艮位的掌肉很豐厚,生命線的紋路若深，則代表健康、長壽；若紋路較淺，則表示心神不定，精神少寄託。
生命線(地紋),斷掌而缺少智慧線,有此紋者，頭腦聰穎，極具自信，不易與人妥協，人際關系較差，個性固執但為人溫厚，若有一技之長可擁有良好的生活品質，占有一席之地，男子有此紋者，大多具有豐富的學問與知識。
生命線(地紋),生命線上有丸形,一生為了生活而操煩、汲汲營營，少有悠閒時間，若手上沒貴人紋相助，一生孤苦，老而零丁。
生命線(地紋),生命線結成球狀,行為粗魯，個性悲觀，容易有自殺傾向，需要有貴人紋來相助，才有好轉的機會。
生命線(地紋),生命線延伸至手頸處，線雜又亂,做事容易猶豫不決，多災禍、危險。
生命線(地紋),生命線延伸至手頸處，又淺又直,為人氣度小，個性固執，不知變通，做事偏激，難有緩轉餘地。
生命線(地紋),生命線延伸至手頸處，又彎又圓,為人氣量足，行事有肚量，生命線越粗大，氣量也就越好，比一般人有氣度。
生命線(地紋),生命線與智慧線交叉,個性畏首畏尾，容易神經質，懶骨頭的壞習慣
生命線(地紋),帶著強而有力智慧線的強壯生命線,有如此生命線的人是體力充沛、頭腦靈活，但是事事皆需精打細算。
生命線(地紋),生命線上有副筆，副筆到小指,學識豐富。
生命線(地紋),生命線上有副筆，副筆到無名指,人綠佳，受人景仰、欽佩。
生命線(地紋),生命線上有副筆，副筆到離宮,可得名與利。
生命線(地紋),生命線上有副筆，副筆到巽宮,行事具有決定權，可成為中、階級管理者，對於能力範圍內的事物有支配權。
生命線(地紋),生命線上有副筆,生命線上有副筆(B、C線)，此相者，主靠自已努力得成功，個性較為執著、固執。凡事苦盡甘來，貧者有成功的一日，雖然困苦，但仍要行善事，必得發跡。副紋向上，但不宜中斷智慧或感情線(A線)，否反吉成凶，做事易招誤解，家庭方面缺少溝通，行事獨斷。
生命線(地紋),叉線在生命線中部直上智慧線,表示其人思想堅定，忠實可靠。
生命線(地紋),生命線有數條支線,向上是走運。
生命線(地紋),生命線呈鎖鏈狀,身體虛弱，生病不斷。
生命線(地紋),生命線斷開，空隙較大,代表有生命危險，有災害及疾病纏身，需修身養性、積功德才能改運。生命線最忌斷開，斷開處代表命運改變，富有與貧窮只在一線之間，夫妻之間多分離，感情差，聚少離多。
生命線(地紋),生命線斷斷續續,生命線最忌斷開，做事容易失敗，秏損元氣，死於不明顯處或不明原因。生命線斷的越細，壽命越短，自已的專才不可外傳，若有貴人紋的輔助，命中有冥冥的安排，事情可轉寰餘地。
生命線(地紋),中斷處重疊的生命線,這是與一般中斷不同，就算是身染患重病也不至於會死，而必可康復。重疊處的長度，乃表示至康復時的時間長短。
生命線(地紋),影響線上升至情感線未端又出現島紋,表示此人生性風流，將導致不名譽之誹謗，此紋在左手，相學上稱之為「誘姦紋」，會使人事業、家庭、名利上有多重損失。
生命線(地紋),影響線穿過生命線逐漸窄淺,表示婚姻有訟，亮起紅燈。
生命線(地紋),影響線由金星環伸至太陽丘，同時穿過生命線與太陽線,表示在人事調動下不被重視，而且也被親屬輕視。
生命線(地紋),影響線深且明朗與生命線並行,影響線較遠，表示配偶性格怪異，難與其相處，婚姻可能亮起紅燈。影響線若較近，表示彼此相愛，必能白頭諧老。
生命線(地紋),影響線在金星環上與生命線並列,表示將受異性友人協助，或（妻子）丈夫幫助，且得到他（她）的影響。
生命線(地紋),影響線經生命線與事業線，停止在智慧線上,表示所作之事或決定，都未得到親族支持與贊同，或因意外招致財產上損失。
生命線(地紋),影響線起自金星環，又穿過生命線與事業線,表示生命線被穿之時，因自己計算錯誤，又不聽別人意見或別人幫助、贊同，使事業發生重大損失。
生命線(地紋),影響線從姆指下方至生命線，紋路深而明顯,是不吉之兆，象徵者所愛之人即將離去或死亡。
生命線(地紋),生命線上出現三角紋      ,表示生命力比一般人強，且為人處事圓滑，極受老板和同事所賞；如尾端出現三角紋，表示到了晚年頗受人敬佩。        
生命線(地紋),有一清楚短橫線橫過生命線,表示將突然生起疾病，或遭遇到事故，有了生命危險信號。
生命線(地紋),橫過一短線，將中斷的生命線結合,一般橫過生命線的雜線都認為非吉線，但有一特別的例外；唯當生命線中斷，剛好有一短橫線將斷處結合，則代表可能逢凶化吉，大病復原。如附圖所示，生命線中斷處(箭頭指處)，剛好有一雜線將斷處結合。
生命線(地紋),生命線向上支處與事業線並行上升,表示其人有雙重命運，或將獲到第二幸運。
生命線(地紋),在生命線起端有流蘇狀,證明其人幼年體弱多病，長大後才逐漸恢愎正常。
生命線(地紋),生命線未端有流蘇狀,表示其人晚年子女不在身側，以致生活寂寞孤獨。
生命線(地紋),生命線的開始端有數條小紋,個性較為神經質，猜忌心重，凡事皆很小心翼翼，但常會顧慮太多，喜歡做白日夢。運途方面較為不順隧，健康方面需注意肝及血管病變，需保持心情輕鬆才能改善。
生命線(地紋),生命線的支線延伸至乾宮,外出旅行多意外事故；斜線(實線A)代表易有交通事故，橫紋(虛線B)則因酒色而亡。
生命線(地紋),支線伸進月丘的生命線,有如此生命線的人，生命力很強，但是卻在性方面具有某種苦惱。女性則表示有不孕的症狀。
生命線(地紋),生命線在結尾處分叉為二條線,有此相者，唯有離鄉才會有發展，若將自已侷限在家鄉則難有成功機會。分岔處有遠行或大病，若分岔處距離較大，表示其人亡於國外或遠離家鄉時逝去。
生命線(地紋),生命線在結尾處分叉為二條線，落於坎宮處,若生命線的紋路清楚、無雜線，則運途順利；若是雜亂不清，易犯小人、官司纏身，在家待不住，喜歡往外跑。女性有此線者，姻綠不順。讀書人有此線者，易執著於部份領域或想法之中，需要懂得變通才能更上一層。
生命線(地紋),清楚的叉線在生命線起端,個性忠厚老實，是一位奉公守法之人，但必需手型好，若長在醜陋手上，則此人必是個三心兩意者。
生命線(地紋),生命線有旁另有一條,生命線的旁邊多了一條，稱之為副生命線（亦稱姐妹線），此線不比生命線長，但卻能有堅強支持力，具有此線之人，容易化危為安，有此線之人，生性好闊，生命力非常強。
生命線(地紋),生命線破損或成梯狀,破損處就代表那年齡必生疾病，已破碎成梯形，那位置必有重病纏身。
生命線(地紋),明顯中斷為二的生命線,生命線如果中斷，表示有意外造成生命危險，若是左手中斷右手完整，那就以中斷處代表的年齡有危險性，左右雙手在同一地方中斷時，即表示生命將發生嚴重變化的象徵。
生命線(地紋),彎的弧形小的人,凡事抱有精神為主的心態，對物質慾望淡泊，雖熱情但易吃虧，若女性可能患子宮發育不健全之疾。
生命線(地紋),生命線彎彎地形成弧形,是極有朝氣而健康的人，處理事務有條理而且冷靜，但卻有不聽他人勸告的缺點。
生命線(地紋),生命線深且細長，無破損或中斷,為最優良之生命線，此人必長壽，若達到手掌下部（第一手頸之處），必能活到百歲。
生命線(地紋),生命線中途薄弱乏力,表示在薄弱之處所代表之年齡上，健康狀況不佳，易患重病。
智慧線(人紋),智慧線穿過感情線，並接近食指,權力心極重，富有野心，做人處事禁不起誘惑，事情的名目總是為了大家設想，說的很好聽，但其實只做對自已有利的事，利已再利人。
智慧線(人紋),智慧線穿過感情線,頭腦很好，知識、常識豐富，但平常做事過於情緒化，全憑感情用事，但若論及婚嫁，卻又非常理智、慎重。
智慧線(人紋),智慧線進入兌宮，且另有一支線達離宮,此為陰陽顛倒之相，男的娘娘腔，女的男人婆，陰陽相反，有同性戀之傾向，對於性別顛倒的閒言閒語，反而樂於接受，親朋好友對於他的態度反覆無常，性別錯亂，壽命短。
智慧線(人紋),智慧線進入兌宮，且末端向上,將因自已的錯誤而令妻兒受到牽連，拖累因一半破產。
智慧線(人紋),智慧線同時穿過生命線及兌宮,此為浪子回頭之相；年少不更事，品行差，但浪子可回頭，年輕時歷經滄桑，年老後對生命有了不同的體認，知錯能改，子女願意接受自已而令離散的家族再度相聚；而晚運如何，只能依靠兒女。
智慧線(人紋),智慧線穿過生命線，若紋上多有雜紋,思緖混亂，易有精神分裂、幻想…等症狀，因失去理智而犯罪，精神狀態不穩，難以控制。智慧線與人格及人際關系相關，有此紋者，常常進出監獄，做奸犯科，一生無一事處。
智慧線(人紋),智慧線同時穿過生命線及乾宮，而紋上多雜紋,此相者，妻兒因受不了其個性及惡習而離開，妻離子散，孤老終生。
智慧線(人紋),智慧線同時穿過生命線及乾宮,此相者，喜好酒色聲色，過度縱慾；個性神經質，無人格可言。
智慧線(人紋),智慧線穿過生命線,個性個執、強勢、做事衝動、暴燥，少修養，運途起起伏伏，受個性的影響，一生的運勢低落。
智慧線(人紋),智慧線在生命線與感情線之間,個性急燥易惹禍，聽不進他人的勸告，因自已的衝動而遺憾終生，再有智慧的人也難以化解。
智慧線(人紋),智慧線有二條,智慧線代表智慧與理性，智慧線有雙條，此手紋者頭腦極佳，具有跨足於二個不同領域的專才與智慧；不旦具有豐富的內涵，對於人際交際也很有自已的風格，但有此紋者一生的富貴成就只能靠自已努力得來。
智慧線(人紋),智慧線與感情線幾乎要連結在一起,為人過於自信，週圍的人難與其相處，行事風格理性大過於感性，就連在談感情也是非常理性冷靜，凡事不喜拖欠人情。若智慧線與感情線連結在一起便成斷掌，男性在事業方面多有成就，女性則因個性過於強勢而影響感情發展。
智慧線(人紋),智慧線連結手掌,橫線表示數學才能佳(如左圖A線)縱線表示哲學方面佳(如左圖B線)創造力豐富
智慧線(人紋),智慧線未端下彎,有文才
智慧線(人紋),智慧線末端成三線,三方面發揮才能
智慧線(人紋),智慧線尾端分叉,兼具兩種才能。分叉處若向上，代表凡事具有補求的能力，可挽回事情的劣勢；分叉處若向下，凡事容易不小心出錯。智慧線分成二條，做人做事皆需小心，容易為了雜事而忙碌，人緣不好，做事徒勞無功。
智慧線(人紋),智慧線斷了再接續,事情的成敗無法如自已所願，即便成功，其結果卻也不是自已所希望的結局，付出很多，收獲很少，外在的環境、朋友、家人難給予助力，凡事只能靠自已努力 。
智慧線(人紋),智慧線斷斷續續,思想迷糊，凡事想得太多，為自已招來許多不謂的煩惱，對於人事物的看法無法透徹，只看表面，人際關系差。個性吊兒啷噹。
智慧線(人紋),智慧線起端，和生命線、感情線互相連結,表示其任性放縱不能克制自己，遇到愛情有不顧道德之事出現，也可能突然死亡。
智慧線(人紋),智慧線下垂至手腕線，且未端出現十字紋,意外事件如車禍等突然發生或死亡。
智慧線(人紋),智慧線結成球狀,有此紋者做事不可靠，容易小題大做，動不動就往壞的方向想。
智慧線(人紋),智慧線有有球狀紋,做事缺乏常識，固執又不善解人意，自私，凡事以自我為中心。
智慧線(人紋),智慧線上出現了島紋,此人可能患有腦神經衰弱，或是記憶力衰弱之症。
智慧線(人紋),智慧線上有許多上上下下支線,此人必是多方面之才幹，加上智慧線本身長得優良，那是個具有小聰明之人。
智慧線(人紋),智慧線上的向上、向下短支線,智慧線上出現不少條向上的短支線，此必是富有向上之心(如圖中A處)，相反的，若出現不少向下短支線(如圖中B處)，此人缺乏勇氣，容易自怨自艾。
智慧線(人紋),智慧線在感情線及生命線的中間，智慧線斷斷續續,心思繁雜，做事舉棋不定，又過於主見，夫妻感情難和睦，因此而分居、分房，最後離異收場。
智慧線(人紋),智慧線在感情線及生命線的中間，智慧線明顯而無雜紋,凡事以理性為主，判斷是非，思想與眾不同，主觀性較重，其他人難以理解其想法，因此曲高和寡，人際關系差，行事大好大敗，容易引來嫉妒，所以在得到成功時，更需注意小心低調行事。
智慧線(人紋),智慧線呈鎖鏈狀,記憶力差，呆頭呆腦，思想紊亂，缺乏決斷能力，但酒量不錯，孩子也有此線形狀。
智慧線(人紋),智慧線如在右手掌中分叉，一條橫過掌中，一條下垂,必備兩種不同理智，遺傳父母不同性格，兩條線表示能自由運用其腦力。
智慧線(人紋),雙條智慧線，而且細而明顯,智慧較高，能理解現實與虛幻的世界，可得友人相助，不過中間有斷裂者，是乃不吉之紋，若斷又續者，可承繼遺產致富。
智慧線(人紋),智慧線的開頭與生命線分離，而尾端又與感情線彼此結合,此手紋者，修善甚佳，人品好，因自已的努力而得到富貴、財富；女性若有此紋，持家有成，助有幫夫運，成為丈夫成功事業背後的推手。有此紋者，合適離鄉發展，不宜將自已侷限在家鄉裡，子女運也很不錯，兒女多有成就，光宗耀祖。
智慧線(人紋),智慧線未端接近情感線,自信滿滿，待人處事、進退之間處理得宜，做人做事皆值得信任；男女皆有意外的緣份，微妙的人際關系形成助力，可得貴人相助，事業方面可白手起家，獲得成功，運途平順，難關皆可破。
智慧線(人紋),智慧線橫越過手掌,學識豐富，可以挽回因神經過敏而帶來之過失。
智慧線(人紋),智慧線未端直伸至小指下方並向下方彎,表示此人想像力發達，富有同情心，且具浪漫氣質好幻想。
智慧線(人紋),智慧線未端直伸至小指下方,表示其人常識豐富，喜好藝術。
智慧線(人紋),智慧線與生命線在起端連結甚密，到中途才分離,表示此人膽怯及猶豫，缺乏自信心，長時間靠父母過日子，沒有獨立自主人格。
智慧線(人紋),智慧線的起端連著生命線,個性喜歡追根究底，紋深又明顯，學識豐富；智慧線粗又淺，才學識素養，沒知識。
智慧線(人紋),智慧線開端與生命線相結,表示其人頭腦聰明絕頂，但神經過於衰弱，以致有事時多不顧慮，猶豫不決，往往失了不少好機會。
智慧線(人紋),智慧線在手掌處中斷，另一條線前端又向上直衝,表示此人自家或親戚遭破產，妻子受連累，又其人生性自私薄情，虛名虛利，中年事業將敗。
智慧線(人紋),智慧線的尾部忽然向上方翹起,當年的精神趨於緊張，際遇由此而有所轉變。
智慧線(人紋),智慧線如穿不過事業線,此人在幼年期間即可能遭到意外，甚至有生命危險。
智慧線(人紋),智慧線中述突然下垂,表示了其人年少時生活傾向於實際生活，實際重於精神，隨著年齡增加，逐漸轉為精神重於實際生活。
智慧線(人紋),智慧線細直而長，同時手掌與手指皆長,表示了其人思想細密，做事精明，任何事皆追求完美化，腳踏實地，做事穩健。
智慧線(人紋),智慧線深又細長，掌中之處非常發達亦發達,如生命線、情感線亦深而明顯，證明其人極為機敏。
智慧線(人紋),智慧線深入乾宮(月丘),極具耐力，責任感很強，凡事忍辱負重，認命而為，一生別無所求。但有此相者，智慧線過長，老漢喜提當年勇，喜歡提舊事，反覆提起相同的事情或為了一些小事嘮叨不停，此相者不會自已主動追求名利，順自然而為，若過於強求，只會令自已陷入痛苦之中。
智慧線(人紋),智慧線深明而長,表示此人聰明且有才藝，若長又直，是其人意志不堅定，見異思遷，虎頭蛇尾。
智慧線(人紋),頭腦線短，紋路深而明顯,表示此人狂妄輕浮且注意力對集中，但這種人到那裡都不太受歡迎。
智慧線(人紋),智慧線又淺又窄,表示此人心力弱，個性虛偽與人很少很少遵守履行，再加上姆指特別細小則表示此人頭腦發育不健全。
婚姻線(家風紋),婚姻線有一竪紋，且頭或尾端開叉,女子者，有此紋者，血統混亂，若開叉在上，則為父族那邊的亂倫；開叉在下，為外遇所生之子。
婚姻線(家風紋),婚姻線成釵狀,感情觀念較為開放，交往對象多，恐有亂倫之事。女性有此紋者，丈夫易有外遇情事，為第三者而拋棄此段婚姻。
婚姻線(家風紋),婚姻線上有了黑色斑點,表示其配偶可能有厄運降臨。
婚姻線(家風紋),婚姻線的末端如出現十字紋,婚後的生活或愛情生活上，可能出現休止符的壞運。
婚姻線(家風紋),婚姻線起點有島紋,不可視為不好，如伸出良好掌線，可化凶為吉，表示婚前問題不少，一結婚則可消失。
婚姻線(家風紋),婚姻線的末端有島紋,不論島紋大小如何，都表示是一種凶兆，具有此相之人，終因疾病或糾紛造成離婚。
婚姻線(家風紋),婚姻線呈現流鏈狀，叉或島紋,表示其人婚後糾紛時起，很難有幸福美滿之婚後生活。
婚姻線(家風紋),婚姻線上出現支線，支線上又生支線,男極好女色，婚後有在外藏嬌之可能；女性者為水性楊花之人。
